catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
ecoscentric,ecoscentric,eCosCentric,ecoscentric.com,NA,NA,software,
ecseco development ltd,ecseco development ltd,Ecseco Development Ltd,NA,Japan,NA,video game industry,
ecycler,ecycler,Ecycler,ecycler.com,United States of America,NA,environmental technology,
edb business partner,edb business partner,EDB Business Partner,NA,Norway,NA,information technology,
edge technologies,edge technologies,Edge Technologies,edge-technologies.com,United States of America,NA,enterprise software,
edos,edos,EDOS,NA,United Kingdom,NA,video game industry,
edsurge,edsurge,EdSurge,edsurge.com,United States of America,NA,educational technology,
edu ware,edu ware,Edu-Ware,NA,United States of America,NA,video game industry,
educationcity,educationcity,EducationCity,educationcity.com,NA,NA,educational software,
edufold,edufold,Edufold,edufold.com,Mexico,NA,software industry|educational technology,
edutech,edutech,Edutech,edutech.com,United Arab Emirates,NA,educational technology,
efecte,efecte,Efecte,NA,NA,NA,software as a service,
effective media gmbh,effective media gmbh,Effective Media GmbH,NA,Germany,NA,video game industry,
eggplant,eggplant,Eggplant,testplant.com,NA,NA,software industry,
eidos hungary,eidos hungary,Eidos Hungary,NA,Hungary,NA,video game industry,
eidos interactive,eidos interactive,Eidos Interactive,eidos.com,United Kingdom,Square Enix,video game industry,
eidosmedia,eidosmedia,EidosMedia,eidosmedia.com,Italy,NA,software industry,
eim,eim,EIM,NA,Japan,NA,video game industry,
einstruction,einstruction,Einstruction,einstruction.com,NA,NA,educational technology,
eko software,eko software,Eko Software,ekosystem.com,France,Nacon,video game industry,
élan,élan,Élan,elan.com,NA,Perrigo,biotechnology,
elastic,elastic,Elastic,elastic.co,NA,NA,software industry,
elastic bv,elastic bv,Elastic BV,elastic.co,NA,NA,free software|software industry|Elasticsearch,
elayaacom,elayaacom,Elayaa.com,en-elayaa.com,NA,NA,educational technology,
elca informatik,elca informatik,ELCA Informatik,elca.ch,NA,NA,software development,
elcomsoft,elcomsoft,ElcomSoft,elcomsoft.com,NA,NA,software,
elecom,elecom,Elecom,elecom.co.jp,Japan,NA,information technology,
electric cloud,electric cloud,Electric Cloud,electric-cloud.com,United States of America,NA,software,
electric dreams software,electric dreams software,Electric Dreams Software,NA,United Kingdom,NA,video game industry,
electric transit,electric transit,Electric Transit,NA,NA,NA,video game industry,
electro brain,electro brain,Electro Brain,NA,United States of America,NA,video game industry,
electro brain corp japan,electro brain corp japan,Electro Brain Corp. Japan,NA,Japan,NA,video game industry,
electronic arts,electronic arts,Electronic Arts,ea.com,United States of America,NA,video game industry,
electronic arts (united kingdom),electronic arts (united kingdom),Electronic Arts (United Kingdom),NA,United Kingdom,NA,video game industry,
electronic arts victor,electronic arts victor,Electronic Arts Victor,NA,Japan,Electronic Arts,video game industry,
electronic data systems,electronic data systems,Electronic Data Systems,eds.com,United States of America,Hewlett-Packard,information technology,
elemental technologies,elemental technologies,"Elemental Technologies, Inc.",elemental.com,United States of America,NA,video editing software,
elf corporation,elf corporation,ELF Corporation,elf-game.co.jp,Japan,NA,video game industry,
elipse software,elipse software,Elipse Software,NA,Brazil,NA,software industry,
elite gudz,elite gudz,Elite Gudz,NA,United States of America,NA,video game industry,
ellie mae,ellie mae,Ellie Mae,NA,United States of America,NA,software company,
ellislab,ellislab,EllisLab,ellislab.com,NA,NA,software,
ellomay capital,ellomay capital,Ellomay Capital,NA,Israel,NA,environmental technology,
elron electronic industries,elron electronic industries,Elron Electronic Industries,elron.com,NA,Discount Investment Corporation,health technology,
elsa technology,elsa technology,ELSA Technology,elsa.com,NA,NA,information technology,
elysium health,elysium health,Elysium Health,elysiumhealth.com,United States of America,NA,biotechnology|pharmaceutical industry|dietary supplement|life sciences|Anti-aging supplements,
emagic,emagic,Emagic,NA,Germany,NA,video game industry,
embarcadero technologies,embarcadero technologies,Embarcadero Technologies,embarcadero.com,United States of America,Idera Software,software development,
ember lab,ember lab,Ember Lab,emberlab.com,United States of America,NA,video game industry,
embracer group,embracer group,Embracer Group,embracer.com,Sweden,NA,video game industry,
emco software,emco software,EMCO Software,NA,NA,NA,software,
emerald software,emerald software,Emerald Software,NA,NA,NA,video game industry,
emeta,emeta,eMeta,NA,United States of America,NA,software,
emka,emka,EMKA,emka.com,Germany,NA,mechanical engineering|Elektrotechnik|plant engineering,
emnico technologies,emnico technologies,Emnico Technologies,NA,NA,NA,information technology,
encor biotechnology,encor biotechnology,EnCor Biotechnology,encorbio.com,NA,NA,biotechnology,
endeca technologies,endeca technologies,Endeca Technologies Inc.,endeca.com,NA,NA,information technology,
enea ab,enea ab,ENEA AB,enea.com,NA,NA,software industry,
engagor,engagor,Engagor,engagor.com,NA,NA,software,
engine yard,engine yard,Engine Yard,engineyard.com,NA,NA,software industry,
engineered software,engineered software,Engineered Software Inc.,eng-software.com,NA,NA,software industry,
english software,english software,English Software,NA,United Kingdom,NA,video game industry,
enlivex,enlivex,Enlivex,NA,Israel,NA,biotechnology,
enplug,enplug,Enplug,enplug.com,United States of America,NA,software,
entellium,entellium,Entellium,entellium.com,United States of America,NA,software as a service,
enterprisedb,enterprisedb,EnterpriseDB,enterprisedb.com,United States of America,NA,software,
entex industries,entex industries,Entex Industries,NA,United States of America,NA,video game industry,
enthought,enthought,Enthought,enthought.com,United States of America,NA,software,
entrex,entrex,Entrex,NA,United States of America,NA,information technology,
entur,entur,Entur,entur.no,Norway,NA,route planning software|ticketing service,
enumeral,enumeral,Enumeral,NA,NA,NA,biotechnology,
enveda biosciences,enveda biosciences,Enveda Biosciences,envedabio.com,United States of America,NA,biotechnology|artificial intelligence|pharmaceutical industry|drug discovery,
eolith,eolith,Eolith,eolith.co.kr,South Korea,NA,video game industry,
eon digital entertainment,eon digital entertainment,Eon Digital Entertainment,NA,United Kingdom,NA,video game industry,
epam systems,epam systems,EPAM Systems,epam.com,United States of America,NA,outsourcing|software industry,
epic systems,epic systems,Epic Systems,epic.com,United States of America,NA,information technology,
epicor,epicor,Epicor,epicor.com,United States of America,NA,software,
epics,epics,Epics Inc,epics.jp|epics-gogo.com,Japan,NA,video game industry,
epiphany,epiphany,"Epiphany, Inc.",infor.com,United States of America,NA,software,
episerver,episerver,EPiServer,episerver.com,NA,NA,software industry,
eplan software,eplan software,Eplan Software,eplan.pl,Germany,NA,software,
epoch co,epoch co,Epoch Co.,epoch.jp,Japan,NA,video game industry,
epos game studios,epos game studios,EPOS Game Studios,eposgamestudios.com,NA,NA,video game industry,
epyx,epyx,Epyx,NA,United States of America,NA,video game industry,
era of technologies,era of technologies,Era of Technologies,eratech.com.ua,Ukraine,NA,software industry|information technology consulting,
ere informatique,ere informatique,ERE Informatique,NA,France,NA,video game industry,
ergogroup,ergogroup,ErgoGroup,evry.no,Norway,NA,information technology,
ericom software,ericom software,Ericom Software,ericom.com,NA,NA,software,
ericsson,ericsson,Ericsson,ericsson.com,Sweden,NA,mechanical engineering|information and communications technology,
ertain corporation,ertain corporation,Ertain Corporation,ertain.com,Japan,NA,video game industry,
eset,eset,ESET,eset.com,Slovakia,NA,computer security software,
esi group,esi group,ESI Group,esi-group.com|investors.esi-group.com,France,NA,software,
esim games,esim games,ESim Games,NA,United States of America,NA,video game industry,
espace for software development,espace for software development,ESpace for software development,NA,Egypt,NA,software development,
esper,esper,Esper,NA,NA,NA,software industry,
esri,esri,Esri,esri.com|esri.com.tr,United States of America,NA,software,
esri canada,esri canada,Esri Canada,esri.ca,Canada,NA,software industry,
esterel technologies,esterel technologies,Esterel Technologies,esterel-technologies.com,NA,Ansys,software,
estonian ict demo center,estonian ict demo center,Estonian ICT Demo Center,e-estonia.com,Estonia,NA,information and communications technology,
estsoft,estsoft,ESTsoft,estsoft.com,South Korea,NA,software,
établissements dickson,établissements dickson,Établissements Dickson,NA,France,NA,Manufacture of other technical and industrial textiles|textile and clothing industry,
etas group,etas group,ETAS Group,etas.com,Germany,Robert Bosch GmbH,software,
etherstack,etherstack,Etherstack,etherstack.com,NA,NA,software-defined radio,
etoro,etoro,eToro,etoro.com,United Kingdom|Cyprus|Israel,NA,information technology|finance|financial services|Investing online|bitcoin exchange,
etude,etude,etude,NA,Japan,NA,video game industry,
eurogentec,eurogentec,Eurogentec,eurogentec.com,Belgium,NA,biotechnology,
europabio,europabio,EuropaBio,europabio.org,Belgium,NA,biotechnology,
eurostop,eurostop,Eurostop,eurostop.com,United Kingdom,NA,technology company,
eushully,eushully,Eushully,eukleia.co.jp,Japan,NA,video game industry,
ev interactive,ev interactive,EV Interactive,NA,United States of America,NA,video game industry,
even,even,Even,NA,United States of America,NA,financial technology,
eversim,eversim,Eversim,eversim.com,NA,NA,video game industry,
evoga,evoga,Evoga,evogae.com,NA,NA,video game industry,
evogene,evogene,Evogene,evogene.com,NA,NA,biotechnology,
evolven,evolven,Evolven,evolven.com,NA,NA,information technology,
evotec,evotec,Evotec,evotec.com,Germany,NA,biotechnology,
evry,evry,Evry,evry.com,Norway,NA,information technology,
exact,exact,Exact,exact.com,NA,NA,software industry|internet industry,
exadel,exadel,Exadel,exadel.com,United States of America,NA,software industry,
exakt entertainment,exakt entertainment,Exakt Entertainment,exaktent.com,United States of America,NA,video game industry,
exalead,exalead,Exalead,exalead.fr,NA,Dassault Systèmes,information technology|search engine,
executive technologies,executive technologies,Executive Technologies,searchexpress.com,NA,NA,software,
exelixis,exelixis,Exelixis,exelixis.com,United States of America,NA,biotechnology,
exense,exense,Exense,exense.com,NA,NA,software,
exidy,exidy,Exidy,NA,United States of America,NA,video game industry,
exigen services,exigen services,Exigen Services,exigenservices.com,NA,NA,information technology consulting,
exo platform,exo platform,eXo Platform,exoplatform.com,NA,NA,software industry,
exotec,exotec,Exotec,exotec.com,France,NA,robotics|logistics|software industry,
expert choice,expert choice,Expert Choice,NA,NA,NA,software,
eyetech,eyetech,Eyetech,eye-techit.co.uk,NA,NA,information technology,
f secure,f secure,F-Secure,f-secure.com,Finland,NA,software industry,
f&c,f&c,F&C,fandc.co.jp,Japan,NA,video game industry,
fabasoft,fabasoft,Fabasoft,fabasoft.com,Austria,NA,software company,
fablevision,fablevision,FableVision,fablevision.com,NA,NA,educational software,
fabtek,fabtek,Fabtek,NA,United States of America,NA,video game industry,
facebook technologies,facebook technologies,"Facebook Technologies, LLC",oculus.com,United States of America,"Facebook, Inc.",software industry|electronics industry|virtual reality industry,
facebook,facebook,"Facebook, Inc.",about.fb.com,United States of America,NA,information technology,
factset,factset,FactSet,factset.com,NA,NA,software industry,
falafel software,falafel software,Falafel Software,falafel.com,United States of America,NA,software,
falconstor software,falconstor software,FalconStor Software,falconstor.com,NA,NA,software,
fall line studios,fall line studios,Fall Line Studios,falllinestudio.go.com,United States of America,Avalanche Software|Disney Interactive Studios,video game industry,
fancy fish games,fancy fish games,Fancy Fish Games,fancyfishgames.com,NA,NA,video game industry,
fandango latam,fandango latam,Fandango Latam,fandango.lat,NA,Fandango,digital distribution|software industry,
fantasoft,fantasoft,Fantasoft,NA,United States of America,NA,video game industry,
fantasy software,fantasy software,Fantasy Software,NA,NA,NA,video game industry,
fanzter,fanzter,Fanzter,fanzter.com,United States of America,NA,software,
fara,fara,Fara,fara.no,Norway,NA,information technology,
